Player,Category,Keyword,Tweet,Date
Mbappe,Match Performance,goal,"@MadridXtra Mbappe hat trick
Vinicius goal and assist 
Asensio assist 

I will be there no matter what. https://t.co/J2UX1M4c7P",2025-03-04 18:07:47+00:00
Mbappe,Match Performance,goal,@MadridXtra Here before a Mbappe goal,2025-03-04 18:07:12+00:00
Mbappe,Match Performance,goal,"@Oyee010402 2-2
First goal Mbappe",2025-03-04 17:46:22+00:00
Mbappe,Match Performance,goal,"@zaMusbeyNe_ Mbappe to score 1 goal 
Julian Alvarez with a brace",2025-03-04 17:44:54+00:00
Mbappe,Match Performance,goal,@Solcasinoio 3-1 first goal mbappe,2025-03-04 17:34:07+00:00
Mbappe,Match Performance,goal,this genre of mbappe goal  https://t.co/LymjXwCima,2025-03-04 17:24:28+00:00
Mbappe,Match Performance,goal,"Mbappé Hat trick 
Vini goal + assist 
Rodrygo 2 assists 
Asencio 3 goal line clearances 
Mendy 1 successful cross
Jude Girlfriend in the stands
Griezmann missed penalty 
De Paul ACL 
Lenglet own goal 
Simeone Red card 
Oblak 6 goals conceded https://t.co/JegPMJM8VH",2025-03-04 17:20:23+00:00
Mbappe,Match Performance,goal,@CFC_Westtlonn Mbappe goal is inevitable tonight,2025-03-04 17:17:49+00:00
Mbappe,Match Performance,goal,"Goal Scorers Champions League ⚽️

Ollie Watkins +160
Ferran Jutgla +250
Gustaf Nilsson +250
Kylian Mbappe +110
Vinicius Junior +150
Alexander Sorloth +225
Serhou Guirassy +120
Jonathan David +225
Karim Adeyemi +225
Kai Havertz +200
Luuk De Jong +225
Ethan Nwaneri +250",2025-03-04 17:13:34+00:00
Mbappe,Match Performance,goal,@Danysleek Atletico 2 Madrid 1 with mbappe goal and vini red card 🙏,2025-03-04 17:12:39+00:00
Mbappe,Match Performance,goal,"Full time score Real Madrid 2 - 0 Atletico Madrid
Rodrigo’s 1 goal 1 assist
Mbappe 1 goal vini 1 assist 

Pls stake
#RMAATM",2025-03-04 17:08:33+00:00
Mbappe,Match Performance,goal,@A_monie10 @AlvanOmoregie @vini_ball The only hope is Mbappe 🙏🏽 Vini has only scored 1 goal in 17 matches against Atletico in his career 🤣 Mbappe scored 1 goal in his first match against them. We should pray Mbappe should turn up because he's the king of big games.,2025-03-04 17:03:53+00:00
Mbappe,Match Performance,goal,"Champions League Clash: Will Mbappe or Alvarez Score the First Goal?

#MadridDerby

Play ▶️ With Champions ⬇️
https://t.co/A5tpbZT8mF

#UCL https://t.co/oTWgza92lf",2025-03-04 16:37:04+00:00
Mbappe,Match Performance,goal,"1 league goal since november 9th, if this was Rodrygo or Mbappe they would hang them https://t.co/F5HfvylLp6",2025-03-04 16:31:48+00:00
Mbappe,Match Performance,goal,@WeliOmori @nepa73231 @MadridXtra @KMbappe Vini that has scored only 1 goal in 15 matches against Atletico in his career? 🤣 Mbappe scored 1 goal jn his first meeting with them. I have more hope that Mbappe will turn up than Vini and Rodrigo. 🤷🏽‍♀️,2025-03-04 16:31:30+00:00
Mbappe,Match Performance,goal,"Tonight game Real Madrid vs Atletico Madrid Scroe prediction?
Mine : Real Madrid 3-2 Atl Madrid 
Mbappé goal ⚽

Your prediction? https://t.co/cnIrCH0Nod",2025-03-04 16:31:14+00:00
